v,k,lambda,mu
5,2,0,1
9,4,1,2
10,3,0,1
13,6,2,3
15,6,1,3
16,5,0,2
17,8,3,4
21,10,3,6
25,8,3,2
26,10,3,4
27,10,1,5
28,12,6,4
29,14,6,7
35,16,6,8
36,10,4,2
37,18,8,9
40,12,2,4
41,20,9,10
45,12,3,3
49,12,5,2
50,21,8,9
53,26,12,13
55,18,9,4
56,10,0,2
57,24,11,9
61,30,14,15
63,30,13,15
64,14,6,2
65,32,15,16
66,20,10,4
70,27,12,9
73,36,17,18
77,16,0,4
78,22,11,4
81,16,7,2
82,36,15,16
85,20,3,5
89,44,21,22
91,24,12,4
96,19,2,4
97,48,23,24
99,48,22,24
100,18,8,2
101,50,24,25
105,26,13,4
109,54,26,27
111,44,19,16
112,30,2,10
113,56,27,28
117,36,15,9
119,54,21,27
120,28,14,4
121,20,9,2
122,55,24,25
125,28,3,7
126,25,8,4
130,48,20,16
135,64,28,32
136,30,15,4
137,68,33,34
143,70,33,35
144,22,10,2
147,66,25,33
148,70,36,30
149,74,36,37
153,32,16,4
155,42,17,9
156,30,4,6
157,78,38,39
162,56,10,24
165,36,3,9
169,24,11,2
170,78,35,36
171,34,17,4
173,86,42,43
175,30,5,5
176,40,12,8
181,90,44,45
183,70,29,25
190,36,18,4
193,96,47,48
195,96,46,48
196,39,14,6
197,98,48,49
208,75,30,25
209,100,45,50
210,38,19,4
216,40,4,8
220,84,38,28
221,64,24,16
222,51,20,9
225,28,13,2
226,105,48,49
229,114,56,57
231,30,9,3
233,116,57,58
241,120,59,60
243,22,1,2
247,54,21,9
253,42,21,4
255,126,61,63
256,30,14,2
257,128,63,64
269,134,66,67
273,102,41,36
275,112,30,56
276,44,22,4
277,138,68,69
279,128,52,64
280,36,8,4
281,140,69,70
289,32,15,2
290,136,63,64
293,146,72,73
297,40,7,5
300,46,23,4
301,60,23,9
304,108,42,36
305,76,27,16
313,156,77,78
317,158,78,79
323,160,78,80
324,34,16,2
325,48,24,4
330,63,24,9
336,80,28,16
337,168,83,84
343,54,5,9
344,168,92,72
349,174,86,87
351,50,25,4
353,176,87,88
357,100,35,25
361,36,17,2
362,171,80,81
364,120,38,40
371,120,44,36
373,186,92,93
378,52,1,8
389,194,96,97
392,69,26,9
397,198,98,99
399,198,97,99
400,38,18,2
401,200,99,100
406,54,27,4
407,126,45,36
409,204,101,102
416,100,36,20
421,210,104,105
425,72,27,9
433,216,107,108
435,56,28,4
438,92,31,16
441,40,19,2
449,224,111,112
457,228,113,114
461,230,114,115
465,58,29,4
475,96,32,16
484,42,20,2
495,78,29,9
496,60,30,4
